chemin, class, classe_LOC, classe_CLOC, classe_DC, WMC, classe_BC
C:\Users\Adrien\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\annotations\XYBoxAnnotation.java,XYBoxAnnotation,223,93,0.4170403587443946,20,0.02085201793721973
C:\Users\Adrien\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\annotations\XYDataImageAnnotation.java,XYDataImageAnnotation,294,153,0.5204081632653061,26,0.020015698587127158
C:\Users\Adrien\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\annotations\XYDrawableAnnotation.java,XYDrawableAnnotation,178,71,0.398876404494382,14,0.028491171749598716
C:\Users\Adrien\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\annotations\XYImageAnnotation.java,XYImageAnnotation,228,114,0.5,20,0.025
C:\Users\Adrien\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\annotations\XYLineAnnotation.java,XYLineAnnotation,216,82,0.37962962962962965,19,0.019980506822612088
C:\Users\Adrien\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\annotations\XYPointerAnnotation.java,XYPointerAnnotation,429,207,0.4825174825174825,36,0.013403263403263402
C:\Users\Adrien\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\annotations\XYPolygonAnnotation.java,XYPolygonAnnotation,269,123,0.45724907063197023,25,0.01828996282527881
C:\Users\Adrien\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\annotations\XYShapeAnnotation.java,XYShapeAnnotation,211,84,0.3981042654028436,18,0.022116903633491312
C:\Users\Adrien\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\annotations\XYTextAnnotation.java,XYTextAnnotation,541,290,0.5360443622920518,48,0.011167590881084412
C:\Users\Adrien\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\annotations\XYTitleAnnotation.java,XYTitleAnnotation,298,113,0.37919463087248323,34,0.011152783260955389
